"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","aire_conic","tig_ratio","rac_ratio","surface","inflo","image_surface_µm2_Tige","image_surface_rectified_µm2.x_Tige","mean_vessel_size_µm2_Tige","std_dev_vessel_size_µm2_Tige","mean_vessel_perim_µm_Tige","std_dev_perim_µm_Tige","sum_vessel_area_µm2_Tige","count_vessel_Tige","count_cluster_Tige","vessel_grouping_Tige","dh_Tige","image_surface_rectified_mm2_Tige","vessel_density_per_mm2_Tige","vessel_density_per_m2_Tige","dh_m_Tige","vessel_area_Tige","Kth_Tige","image_surface_µm2_Racine","image_surface_rectified_µm2.x_Racine","mean_vessel_size_µm2_Racine","std_dev_vessel_size_µm2_Racine","mean_vessel_perim_µm_Racine","std_dev_perim_µm_Racine","sum_vessel_area_µm2_Racine","count_vessel_Racine","count_cluster_Racine","vessel_grouping_Racine","dh_Racine","image_surface_rectified_mm2_Racine","vessel_density_per_mm2_Racine","vessel_density_per_m2_Racine","dh_m_Racine","vessel_area_Racine","Kth_Racine"
"1",1,"T1","T",1,"Ho1","Ho",1,0,4.82,1.77,4.45,2.48,25,115,88,263,24,83,11,11,2,5,4,1,8,111.25,0.367219917012448,0.557303370786517,7304,0.454545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45712.7983084406,44219.2202328126,108.650915364783,42.8214255040554,53.8004880583913,17.7630975050073,2498.97105339,23,20,1.15,12.1761991200288,0.0442192202328126,520.135811506983,520135811.506983,1.21761991200288e-05,0.0565132320342378,0.279546120486976
"2",2,"T1","T",1,"Ho2","Ho",2,0,5.48,3.2,5.18,1.94,15,81,56,233,12,28,47,5,0,5,3,1,7,77.7,0.583941605839416,0.374517374517375,1568,1,188711.604806765,188711.604806765,142.800301621181,55.7616709201151,53.3372012205308,13.1753770106568,37128.078421507,260,86,3.02325581395349,13.9692381468743,0.188711604806765,1377.76370597999,1377763705.97999,1.39692381468743e-05,0.196745072776659,1.28278942808549,389685.061224695,389685.061224695,145.37124085707,91.4067167043337,52.8210218227619,23.6366917991179,58003.125101971,399,242,1.64876033057851,14.7839064811273,0.389685061224695,1023.90376152997,1023903761.52997,1.47839064811273e-05,0.148846160331833,1.19592986732663
"3",3,"T1","T",1,"Ho3","Ho",3,0,4.24,1.51,3.77,1.91,25,117,126,161,13,39,130,9,1,7,1,0,6,94.25,0.356132075471698,0.506631299734748,4914,0.777777777777778,229623.870686246,222217.859069812,120.953813141926,41.2602700254631,44.5999960770514,8.53255568408333,21166.917299837,175,108,1.62037037037037,12.7541574329562,0.222217859069812,787.515462224942,787515462.224942,1.27541574329562e-05,0.0952529980643329,0.50951377567153,210107.418764939,210107.418764939,163.381834883311,94.5295425997918,63.6077154778667,22.1553823376179,36760.912848745,225,93,2.41935483870968,15.4983788945409,0.210107418764939,1070.88079670201,1070880796.70201,1.54983788945409e-05,0.174962469506476,1.51069215516144
"4",4,"t1","T",1,"Ho1","Ho",1,1,5.09,1.92,NA,NA,NA,91,100,143,19,NA,NA,13,3,2,NA,0,NA,NA,0.37721021611002,NA,NA,0.153846153846154,502135.746829191,470620.291134044,141.126775321619,61.882737248808,48.8321136283909,13.3307917022155,96389.587544666,683,205,3.33170731707317,14.0064518652109,0.470620291134044,1451.27614101421,1451276141.01421,1.40064518652109e-05,0.204813921882539,1.36569064656053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"t1","T",1,"Ho2","Ho",2,1,5.16,4.38,3.71,NA,32,112,91,253,24,71,NA,9,1,5,NA,NA,NA,118.72,0.848837209302326,NA,6461,0.555555555555556,329768.896706689,296774.374326933,166.990681589554,90.4520077592807,54.092432317738,16.1581501573685,55440.906287732,332,119,2.78991596638655,15.5474697485793,0.296774374326933,1118.69497072635,1118694970.72635,1.55474697485793e-05,0.1868116356524,1.59823381284945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"t1","T",1,"Ho3","Ho",3,1,3.19,2,NA,NA,NA,104,115,104,118,128,72,3,0,3,NA,0,NA,NA,0.626959247648903,NA,14720,1,439192.45138467,425742.582308767,103.055163461877,36.3989509885871,47.2437251870233,10.5713745621864,31019.604202025,301,230,1.30869565217391,11.7954321987796,0.425742582308767,706.999986629718,706999986.629718,1.17954321987796e-05,0.0728599991896705,0.334629779283317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"T1","T",1,"Fe1","Fe",1,0,5.4,4.59,4.49,2.36,16,165,196,NA,NA,130,36,5,0,5,7,0,6,71.84,0.85,0.525612472160356,25480,1,993305.262845359,929140.272556943,226.979325474705,156.549330633665,72.0390699962708,29.497564340199,84663.288402065,373,279,1.33691756272401,18.7328385151665,0.929140272556943,401.446381151389,401446381.151389,1.87328385151665e-05,0.0911200288080036,1.20873654200095,451642.67727925,439371.516473847,236.760605368101,151.989669768187,70.0378974902785,27.3816110737248,37408.17564816,158,123,1.28455284552846,18.9180295311298,0.439371516473847,359.604558046959,359604558.046959,1.89180295311298e-05,0.0851401928563266,1.12620780070438
"8",8,"T1","T",1,"Fe2","Fe",2,0,5.76,4.33,2.84,2.08,51,65,62,145,80,90,27,2,1,1,4,1,6,144.84,0.751736111111111,0.732394366197183,5580,0.5,170014.361978451,170014.361978451,140.2444855106,72.0960544145212,51.7017752388538,16.3110969470041,18231.783116378,130,79,1.64556962025316,14.1639172244229,0.170014361978451,764.641283755059,764641283.755059,1.41639172244229e-05,0.107236723440393,0.752455826572276,91238.8651324488,85129.0219138188,181.47452768584,95.795788912437,59.49766088248,17.0181512672121,13610.589576438,75,42,1.78571428571429,16.1523237477837,0.0851290219138188,881.015643242407,881015643.242407,1.61523237477837e-05,0.159881897741252,1.46626818000407
"9",9,"T1","T",1,"Fe3","Fe",3,0,3.26,2.86,2.93,1.2,22,155,156,168,185,182,55,7,0,3,3,1,8,64.46,0.877300613496933,0.409556313993174,28392,0.428571428571429,307531.969669079,300400.579282682,162.451122100811,90.5527386950436,68.6036526297673,19.5055250461513,25829.728414029,159,128,1.2421875,15.3826523292486,0.300400579282682,529.293253627112,529293253.627112,1.53826523292486e-05,0.0859842829721137,0.724621145734687,341969.143355981,328348.696985648,182.171098007366,98.4974287763251,56.6756115175,14.9174573201647,33883.82422937,186,142,1.30985915492958,16.2333074619777,0.328348696985648,566.470955138677,566470955.138677,1.62333074619777e-05,0.103194635886894,0.961823649736895
"10",10,"t1","T",1,"Fe1","Fe",1,1,5.11,4.59,3.97,1.88,24,177,167,177,75,131,26,3,0,1,2,0,NA,95.28,0.898238747553816,0.473551637279597,21877,0.333333333333333,242634.838633784,239383.465646052,216.240816168946,113.379602534108,59.9464247776081,19.4021500423794,32003.640793004,148,104,1.42307692307692,17.6252662863184,0.239383465646052,618.254897432348,618254897.432348,1.76252662863184e-05,0.133691943621219,1.45881446455293,207239.091740141,207239.091740141,271.555534297055,188.09535950066,66.2357755467165,27.0268107009675,34487.552855726,127,75,1.69333333333333,20.4953752564282,0.207239091740141,612.818744444443,612818744.444443,2.04953752564282e-05,0.166414321574861,2.6439015850188
