"","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ"
"1","1826_T1-Ho2-3_Tige_X200_09µm_square.jpg","1826_T1_Ho2_03_T_X200_09µm",2517284.24603472,"1826","03","T1","T","1","Ho2","Ho","2",0,"T"
"2","1827_T1-Ho2-2_Racine_X200_09µm_square.jpg","1827_T1_Ho2_02_R_X200_09µm",5198133.23902608,"1827","02","T1","T","1","Ho2","Ho","2",0,"R"
"3","1828_T1-Fe2-8_Tige_X200_09µm_square.jpg","1828_T1_Fe2_08_T_X200_09µm",2267875.76443024,"1828","08","T1","T","1","Fe2","Fe","2",0,"T"
"4","1829_T1-Fe2-8_Racine_X200_09µm_square.jpg","1829_T1_Fe2_08_R_X200_09µm",1217064.30327472,"1829","08","T1","T","1","Fe2","Fe","2",0,"R"
"5","1830_t1-Fe2-11_Tige_X200_12µm_square.jpg","1830_t1_Fe2_11_T_X200_12µm",2802689.82807696,"1830","11","t1","T","1","Fe2","Fe","2",1,"T"
"6","1831_t1-Fe2-11_Racine_X200_11µm_square.jpg","1831_t1_Fe2_11_R_X200_11µm",8294555.90046408,"1831","11","t1","T","1","Fe2","Fe","2",1,"R"
"7","1832_t1-Fe3-12_Tige_X200_09µm_square.jpg","1832_t1_Fe3_12_T_X200_09µm",6626771.81495289,"1832","12","t1","T","1","Fe3","Fe","3",1,"T"
"8","1833_t1-Fe3-12_Racine_X200_09µm_square.jpg","1833_t1_Fe3_12_R_X200_09µm",5930832.74289381,"1833","12","t1","T","1","Fe3","Fe","3",1,"R"
"9","1834_T1-Ft1-13_Tige_X200_11µm_square.jpg","1834_T1_Ft1_13_T_X200_11µm",980720.11025241,"1834","13","T1","T","1","Ft1","Ft","1",0,"T"
"10","1835_T1-Ft1-13_Racine_X200_09µm_square.jpg","1835_T1_Ft1_13_R_X200_09µm",2408124.20769424,"1835","13","T1","T","1","Ft1","Ft","1",0,"R"
"11","1836_T1-Ft1-15_Tige_X200_09µm_square.jpg","1836_T1_Ft1_15_T_X200_09µm",2833895.1067032,"1836","15","T1","T","1","Ft1","Ft","1",0,"T"
"12","1837_T1-Ft1-15_Racine_X200_09µm_square.jpg","1837_T1_Ft1_15_R_X200_09µm",4119228.26157924,"1837","15","T1","T","1","Ft1","Ft","1",0,"R"
"13","1838_t1-Ft2-17_Tige_X200_09µm_square.jpg","1838_t1_Ft2_17_T_X200_09µm",4165904.69660304,"1838","17","t1","T","1","Ft2","Ft","2",1,"T"
