"","X","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","image_surface_rectified_µm2"
"1",1,"1826_T1-Ho2-2_Tige_X200_09µm_square.jpg","1826_T1_Ho2_02_T_X200_09µm",188711.604806765,"1826",2,"T1","T",1,"Ho2","Ho",2,0,"T",188711.604806765
"2",2,"1827_T1-Ho2-2_Racine_X200_09µm_square.jpg","1827_T1_Ho2_02_R_X200_09µm",389685.061224695,"1827",2,"T1","T",1,"Ho2","Ho",2,0,"R",389685.061224695
"3",3,"1828_T1-Fe2-8_Tige_X200_09µm_square.jpg","1828_T1_Fe2_08_T_X200_09µm",170014.361978451,"1828",8,"T1","T",1,"Fe2","Fe",2,0,"T",170014.361978451
"4",4,"1829_T1-Fe2-8_Racine_X200_09µm_square.jpg","1829_T1_Fe2_08_R_X200_09µm",91238.8651324488,"1829",8,"T1","T",1,"Fe2","Fe",2,0,"R",85129.0219138188
"5",5,"1830_t1-Fe2-11_Tige_X200_12µm_square.jpg","1830_t1_Fe2_11_T_X200_12µm",210107.418764939,"1830",11,"t1","T",1,"Fe2","Fe",2,1,"T",210107.418764939
"6",6,"1831_t1-Fe2-11_Racine_X200_11µm_square.jpg","1831_t1_Fe2_11_R_X200_11µm",621812.557561452,"1831",11,"t1","T",1,"Fe2","Fe",2,1,"R",621812.557561452
"7",7,"1832_t1-Fe3-12_Tige_X200_09µm_square.jpg","1832_t1_Fe3_12_T_X200_09µm",496784.876740833,"1832",12,"t1","T",1,"Fe3","Fe",3,1,"T",472859.699948077
"8",8,"1833_t1-Fe3-12_Racine_X200_09µm_square.jpg","1833_t1_Fe3_12_R_X200_09µm",444612.866629986,"1833",12,"t1","T",1,"Fe3","Fe",3,1,"R",421515.11292514
"9",9,"1834_T1-Ft1-13_Tige_X200_11µm_square.jpg","1834_T1_Ft1_13_T_X200_11µm",73521.0042979975,"1834",13,"T1","T",1,"Ft1","Ft",1,0,"T",73521.0042979975
"10",10,"1835_T1-Ft1-13_Racine_X200_09µm_square.jpg","1835_T1_Ft1_13_R_X200_09µm",180528.275471411,"1835",13,"T1","T",1,"Ft1","Ft",1,0,"R",146406.245389467
"11",11,"1836_T1-Ft1-15_Tige_X200_09µm_square.jpg","1836_T1_Ft1_15_T_X200_09µm",212446.764517122,"1836",15,"T1","T",1,"Ft1","Ft",1,0,"T",212446.764517122
"12",12,"1837_T1-Ft1-15_Racine_X200_09µm_square.jpg","1837_T1_Ft1_15_R_X200_09µm",308803.496082134,"1837",15,"T1","T",1,"Ft1","Ft",1,0,"R",268067.557293525
"13",13,"1838_t1-Ft2-17_Tige_X200_09µm_square.jpg","1838_t1_Ft2_17_T_X200_09µm",312302.65791651,"1838",17,"t1","T",1,"Ft2","Ft",2,1,"T",305565.813085929
