"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","year","ring_length_µm","mean_vessel_size_µm2","vessel_density_per_mm2","vessel_area","Kth"
"1","01","T1","T",1,"Ho1","Ho",1,0,"R","2021",53.898,174.638833333333,959.197166670959,0.167513074124055,1.42966641879754
"2","01","T1","T",1,"Ho1","Ho",1,0,"R","2022",49.258,173.771666666667,882.62523032965,0.153375257316434,1.26127853313561
"3","01","T1","T",1,"Ho1","Ho",1,0,"R","2023",56.001,133.552090909091,1742.77561759076,0.232751327714629,1.47758634922423
"4","01","T1","T",1,"Ho1","Ho",1,0,"R","2024",31.436,159.716666666667,1448.12957204247,0.23129042814805,1.71974136152379
"5","01","T1","T",1,"Ho1","Ho",1,0,"T","2021",NA,NA,NA,NA,NA
"6","01","T1","T",1,"Ho1","Ho",1,0,"T","2022",NA,NA,NA,NA,NA
"7","01","T1","T",1,"Ho1","Ho",1,0,"T","2023",NA,NA,NA,NA,NA
"8","01","T1","T",1,"Ho1","Ho",1,0,"T","2024",NA,NA,NA,NA,NA
"9","02","T1","T",1,"Ho2","Ho",2,0,"R","2021",262.992,150.2733671875,1046.89189748256,0.157319970516015,1.14517148555245
"10","02","T1","T",1,"Ho2","Ho",2,0,"R","2022",144.662,130.560432692308,1123.02806796649,0.146623030479312,0.856940959745244
"11","02","T1","T",1,"Ho2","Ho",2,0,"R","2023",81.77,135.061589285714,1033.46005524226,0.139580757524321,0.890763246070554
"12","02","T1","T",1,"Ho2","Ho",2,0,"R","2024",145.97,152.610050420168,1130.44992995954,0.172518020808601,1.30362410725774
"13","02","T1","T",1,"Ho2","Ho",2,0,"T","2021",66.336,100.031379310345,1376.59754984145,0.137702951665882,0.588193295512519
"14","02","T1","T",1,"Ho2","Ho",2,0,"T","2022",135.864,134.266253968254,1235.88772830118,0.165938015604334,0.974035855460343
"15","02","T1","T",1,"Ho2","Ho",2,0,"T","2023",148.827,148.903492753623,1198.42745059686,0.178450033205693,1.17305215469515
"16","02","T1","T",1,"Ho2","Ho",2,0,"T","2024",155.327,140.669731707317,1333.91321439452,0.187641213989721,1.82036637462069
"17","03","T1","T",1,"Ho3","Ho",3,0,"R","2021",168.807,162.279038461538,673.894943619897,0.10935902347473,0.83785780751664
"18","03","T1","T",1,"Ho3","Ho",3,0,"R","2022",105.907,139.800675675676,799.243064716765,0.111734720476502,0.694173385216559
"19","03","T1","T",1,"Ho3","Ho",3,0,"R","2023",47.851,193.907894736842,842.300405638227,0.163328698393297,1.37631996145336
"20","03","T1","T",1,"Ho3","Ho",3,0,"R","2024",112.419,181.758648648649,683.830772671885,0.124292157145203,1.0091761742248
"21","03","T1","T",1,"Ho3","Ho",3,0,"T","2021",173.738,139.837623529412,1054.75767409026,0.147494806544192,0.931424360749066
"22","03","T1","T",1,"Ho3","Ho",3,0,"T","2022",84.772,117.864428571429,1078.73935074838,0.127144997153471,0.651279814094954
"23","03","T1","T",1,"Ho3","Ho",3,0,"T","2023",69.629,137.503970588235,1193.56312727176,0.164119669147579,1.01618484680142
"24","03","T1","T",1,"Ho3","Ho",3,0,"T","2024",115.242,163.570754098361,934.214302926794,0.15281013801921,1.17108359136165
"25","04","T1","T",1,"Ho1","Ho",1,1,"R","2021",NA,NA,NA,NA,NA
"26","04","T1","T",1,"Ho1","Ho",1,1,"R","2022",NA,NA,NA,NA,NA
"27","04","T1","T",1,"Ho1","Ho",1,1,"R","2023",NA,NA,NA,NA,NA
"28","04","T1","T",1,"Ho1","Ho",1,1,"R","2024",NA,NA,NA,NA,NA
"29","04","T1","T",1,"Ho1","Ho",1,1,"T","2021",374.85,144.982365384615,1310.84921279734,0.19005001953392,1.2364407479299
"30","04","T1","T",1,"Ho1","Ho",1,1,"T","2022",209.325,145.125047297297,1229.6981413217,0.17846000092071,1.18426947990233
"31","04","T1","T",1,"Ho1","Ho",1,1,"T","2023",255.952,147.938347368421,1354.9869772933,0.200454534126503,1.39569651245803
"32","04","T1","T",1,"Ho1","Ho",1,1,"T","2024",185.77,118.460857142857,1534.23584445772,0.181746893193757,1.01098067612512
"33","05","T1","T",1,"Ho2","Ho",2,1,"R","2021",NA,NA,NA,NA,NA
"34","05","T1","T",1,"Ho2","Ho",2,1,"R","2022",NA,NA,NA,NA,NA
"35","05","T1","T",1,"Ho2","Ho",2,1,"R","2023",NA,NA,NA,NA,NA
"36","05","T1","T",1,"Ho2","Ho",2,1,"R","2024",NA,NA,NA,NA,NA
"37","05","T1","T",1,"Ho2","Ho",2,1,"T","2021",162.034,143.250322580645,1115.52206454029,0.159798895591224,1.01919545327587
"38","05","T1","T",1,"Ho2","Ho",2,1,"T","2022",177.767,161.323384615385,1056.86244367898,0.170496626487179,1.30562877571474
"39","05","T1","T",1,"Ho2","Ho",2,1,"T","2023",177.316,178.631533333333,906.462404960136,0.16192276930705,1.3116765348186
"40","05","T1","T",1,"Ho2","Ho",2,1,"T","2024",164.122,147.726224489796,1065.14414232239,0.157349722682708,1.04493616226862
"41","06","T1","T",1,"Ho3","Ho",3,1,"R","2021",NA,NA,NA,NA,NA
"42","06","T1","T",1,"Ho3","Ho",3,1,"R","2022",NA,NA,NA,NA,NA
"43","06","T1","T",1,"Ho3","Ho",3,1,"R","2023",NA,NA,NA,NA,NA
"44","06","T1","T",1,"Ho3","Ho",3,1,"R","2024",NA,NA,NA,NA,NA
"45","06","T1","T",1,"Ho3","Ho",3,1,"T","2021",162.75,124.92672972973,1013.56608367502,0.12662149619849,0.715109592596822
"46","06","T1","T",1,"Ho3","Ho",3,1,"T","2022",373.281,122.045956521739,1157.88091455766,0.141314683755455,0.784171015673889
"47","06","T1","T",1,"Ho3","Ho",3,1,"T","2023",181.064,154.08695049505,1147.33702970474,0.176789664097252,1.25978289262089
"48","06","T1","T",1,"Ho3","Ho",3,1,"T","2024",159.134,122.697823529412,1038.1135273957,0.127374270387892,0.712371148969207
"49","07","T1","T",1,"Fe1","Fe",1,0,"R","2021",140.899,231.50430952381,535.249906723544,0.123912660078718,1.56141234959369
"50","07","T1","T",1,"Fe1","Fe",1,0,"R","2022",86.733,171.586105263158,369.792389340461,0.063451235842887,0.5978240672967
"51","07","T1","T",1,"Fe1","Fe",1,0,"R","2023",256.922,187.6005,342.294365985142,0.0642145942059956,0.651755500921178
"52","07","T1","T",1,"Fe1","Fe",1,0,"R","2024",276.58,299.278444444444,217.288343946554,0.0650297175722341,0.98728326150089
"53","07","T1","T",1,"Fe1","Fe",1,0,"T","2021",174.431,259.951542168675,486.148285706596,0.126374996592087,1.79952616709887
"54","07","T1","T",1,"Fe1","Fe",1,0,"T","2022",118.584,154.058074074074,252.426520407332,0.0388883435791735,0.277659402580788
"55","07","T1","T",1,"Fe1","Fe",1,0,"T","2023",320.382,179.957939130435,402.537881850318,0.0724398876397136,0.735085845477751
"56","07","T1","T",1,"Fe1","Fe",1,0,"T","2024",347.226,278.250803418803,327.231474280529,0.0910524206224766,1.35116738487649
"57","08","T1","T",1,"Fe2","Fe",2,0,"R","2021",52.855,229.6359,816.503819756372,0.187498589503192,1.96292094853068
"58","08","T1","T",1,"Fe2","Fe",2,0,"R","2022",43.024,190.2635,801.488580217768,0.152494022482263,1.49443191191301
"59","08","T1","T",1,"Fe2","Fe",2,0,"R","2023",191.017,165.122346153846,657.029972140088,0.108490330493167,0.91665016379509
