code,species,site_type,site_replicate,site,micro,num,diam_tig_princip_mm,diam_tig_lat_mm,diam_rac_pivot_mm,diam_rac_lat_mm,conicite_mm,empreinte_mm,empreinte_photo_mm,x_mm,y_mm,y_photo_mm,prof_pivot_mm,axes_caul_totaux,axes_caul_morts,axes_caul_inflo,axes_rac_lat,inclinaison_axe_principal,complex_rac
T1-Ho1,Helianthemum oelandicum,T,1,T1,0,1,"4,82","1,77","4,45","2,48",25,115,88,263,24,83,11,11,2,5,4,1,8
T1-Ho2,Helianthemum oelandicum,T,1,T1,0,2,"5,48","3,2","5,18","1,94",15,81,56,233,12,28,47,5,0,5,3,1,7
T1-Ho3,Helianthemum oelandicum,T,1,T1,0,3,"4,24","1,51","3,77","1,91",25,117,126,161,13,39,130,9,1,7,1,0,6
t1-Ho1,Helianthemum oelandicum,T,1,T1,1,4,"5,09","1,92",NA,NA,NA,91,100,143,19,NA,NA,13,3,2,NA,0,NA
t1-Ho2,Helianthemum oelandicum,T,1,T1,1,5,"5,16","4,38","3,71",NA,32,112,91,253,24,71,NA,9,1,5,NA,NA,NA
t1-Ho3,Helianthemum oelandicum,T,1,T1,1,6,"3,19",2,NA,NA,NA,104,115,104,118,128,72,3,0,3,NA,0,NA
T1-Fe1,Fumana ericoides,T,1,T1,0,7,"5,4","4,59","4,49","2,36",16,165,196,NA,NA,130,36,5,0,5,7,0,6
T1-Fe2,Fumana ericoides,T,1,T1,0,8,"5,76","4,33","2,84","2,08",51,65,62,145,80,90,27,2,1,1,4,1,6
T1-Fe3,Fumana ericoides,T,1,T1,0,9,"3,26","2,86","2,93","1,2",22,155,156,168,185,182,55,7,0,3,3,1,8
t1-Fe1,Fumana ericoides,T,1,T1,1,10,"5,11","4,59","3,97","1,88",24,177,167,177,75,131,26,3,0,1,2,0,NA
t1-Fe2,Fumana ericoides,T,1,T1,1,11,"7,61","5,43","7,02","4,8",22,245,275,260,145,145,43,2,0,1,5,0,NA
t1-Fe3,Fumana ericoides,T,1,T1,1,12,"4,12","2,18","3,35","1,4",27,279,350,315,257,227,35,6,0,6,2,0,6
