"","code","species","site_type","site_replicate","site","micro","num","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","aire_conic","tig_ratio","rac_ratio","surface","inflo"
"1","T1-Ho1","Helianthemum oelandicum","T",1,"T1",0,1,4.82,1.77,4.45,2.48,25,115,88,263,24,83,11,11,2,5,4,1,8,111.25,0.367219917012448,0.557303370786517,7304,0.454545454545455
"2","T1-Ho2","Helianthemum oelandicum","T",1,"T1",0,2,5.48,3.2,5.18,1.94,15,81,56,233,12,28,47,5,0,5,3,1,7,77.7,0.583941605839416,0.374517374517375,1568,1
"3","T1-Ho3","Helianthemum oelandicum","T",1,"T1",0,3,4.24,1.51,3.77,1.91,25,117,126,161,13,39,130,9,1,7,1,0,6,94.25,0.356132075471698,0.506631299734748,4914,0.777777777777778
"4","t1-Ho1","Helianthemum oelandicum","T",1,"T1",1,4,5.09,1.92,NA,NA,NA,91,100,143,19,NA,NA,13,3,2,NA,0,NA,NA,0.37721021611002,NA,NA,0.153846153846154
"5","t1-Ho2","Helianthemum oelandicum","T",1,"T1",1,5,5.16,4.38,3.71,NA,32,112,91,253,24,71,NA,9,1,5,NA,NA,NA,118.72,0.848837209302326,NA,6461,0.555555555555556
"6","t1-Ho3","Helianthemum oelandicum","T",1,"T1",1,6,3.19,2,NA,NA,NA,104,115,104,118,128,72,3,0,3,NA,0,NA,NA,0.626959247648903,NA,14720,1
"7","T1-Fe1","Fumana ericoides","T",1,"T1",0,7,5.4,4.59,4.49,2.36,16,165,196,NA,NA,130,36,5,0,5,7,0,6,71.84,0.85,0.525612472160356,25480,1
"8","T1-Fe2","Fumana ericoides","T",1,"T1",0,8,5.76,4.33,2.84,2.08,51,65,62,145,80,90,27,2,1,1,4,1,6,144.84,0.751736111111111,0.732394366197183,5580,0.5
"9","T1-Fe3","Fumana ericoides","T",1,"T1",0,9,3.26,2.86,2.93,1.2,22,155,156,168,185,182,55,7,0,3,3,1,8,64.46,0.877300613496933,0.409556313993174,28392,0.428571428571429
"10","t1-Fe1","Fumana ericoides","T",1,"T1",1,10,5.11,4.59,3.97,1.88,24,177,167,177,75,131,26,3,0,1,2,0,NA,95.28,0.898238747553816,0.473551637279597,21877,0.333333333333333
"11","t1-Fe2","Fumana ericoides","T",1,"T1",1,11,7.61,5.43,7.02,4.8,22,245,275,260,145,145,43,2,0,1,5,0,NA,154.44,0.71353482260184,0.683760683760684,39875,0.5
"12","t1-Fe3","Fumana ericoides","T",1,"T1",1,12,4.12,2.18,3.35,1.4,27,279,350,315,257,227,35,6,0,6,2,0,6,90.45,0.529126213592233,0.417910447761194,79450,1
"13","T1-Ft1","Fumana thymifolia","T",1,"T1",0,13,8.24,3.87,8.33,3.54,27,187,177,187,124,NA,53,3,0,3,3,1,4,224.91,0.469660194174757,0.424969987995198,NA,1
"14","T1-Ft2","Fumana thymifolia","T",1,"T1",0,14,12.53,4.09,11.26,2.37,17,177,135,177,104,110,15,5,0,4,4,0,7,191.42,0.326416600159617,0.210479573712256,14850,0.8
"15","T1-Ft3","Fumana thymifolia","T",1,"T1",0,15,8.24,4.47,6.64,3.68,32,66,146,66,203,180,32,2,0,2,1,0,6,212.48,0.54247572815534,0.55421686746988,26280,1
"16","t1-Ft1","Fumana thymifolia","T",1,"T1",1,16,13.39,3.18,10.72,7.87,15.57,135,153,205,27,NA,24,8,0,5,2,1,8,166.9104,0.237490664675131,0.734141791044776,NA,0.625
"17","t1-Ft2","Fumana thymifolia","T",1,"T1",1,17,7.57,6.61,5.37,3.46,33,203,208,203,116,198,66,2,0,2,3,0,6,177.21,0.873183619550859,0.644320297951583,41184,1
"18","t1-Ft3","Fumana thymifolia","T",1,"T1",1,18,8.62,6.13,6.75,4.44,18.6,125,162,175,61,128,29,5,0,3,3,0,6,125.55,0.711136890951276,0.657777777777778,20736,0.6
"19","T2-Ho1","Helianthemum oelandicum","T",2,"T2",0,19,6.39,2.85,5.23,3.38,21,95,156,178,18,44,8,5,0,5,2,0,6,109.83,0.446009389671362,0.646271510516252,6864,1
"20","T2-Ho2","Helianthemum oelandicum","T",2,"T2",0,20,7.16,3.04,5.7,2.28,10,115,147,177,17,NA,19,17,6,2,2,1,8,57,0.424581005586592,0.4,NA,0.117647058823529
"21","T2-Ho3","Helianthemum oelandicum","T",2,"T2",0,21,4.49,1.6,3.79,1.69,8,117,125,224,14.2,NA,NA,10,0,10,2,NA,7,30.32,0.356347438752784,0.445910290237467,NA,1
"22","t2-Ho1","Helianthemum oelandicum","T",2,"T2",1,22,4.59,2.88,NA,NA,NA,135,132,248,7,36,32,4,0,2,NA,0,NA,NA,0.627450980392157,NA,4752,0.5
"23","t2-Ho2","Helianthemum oelandicum","T",2,"T2",1,23,5.83,2.69,NA,NA,NA,163,175,163,11,NA,17,5,0,5,3,0,5,NA,0.461406518010292,NA,NA,1
"24","t2-Ho3","Helianthemum oelandicum","T",2,"T2",1,24,4.84,2.79,NA,NA,NA,127,90,127,17,104,NA,9,0,1,NA,0,NA,NA,0.576446280991736,NA,9360,0.111111111111111
"25","T2-Fe1","Fumana ericoides","T",2,"T2",0,25,6.79,4.81,6.95,3.04,10,385,450,385,36,139,92,9,0,2,4,0,5,69.5,0.70839469808542,0.437410071942446,62550,0.222222222222222
"26","T2-Fe2","Fumana ericoides","T",2,"T2",0,26,4.25,3.33,4.2,2.57,9,203,146,203,185,169,22,4,0,2,2,1,3,37.8,0.783529411764706,0.611904761904762,24674,0.5
"27","T2-Fe3","Fumana ericoides","T",2,"T2",0,27,5.92,4.28,5.95,2.26,15,295,281,323,NA,149,51,2,0,2,4,1,4,89.25,0.722972972972973,0.379831932773109,41869,1
"28","t2-Fe1","Fumana ericoides","T",2,"T2",1,28,4.43,2.75,5.22,NA,45,205,284,253,295,350,75,6,1,2,3,0,5,234.9,0.620767494356659,NA,99400,0.333333333333333
"29","t2-Fe2","Fumana ericoides","T",2,"T2",1,29,3.92,3.26,NA,NA,32,NA,181,295,237,193,18,2,0,2,2,1,5,NA,0.831632653061224,NA,34933,1
"30","t2-Fe3","Fumana ericoides","T",2,"T2",1,30,5.05,2.97,NA,NA,14,182,204,194,115,115,17,5,0,3,2,0,6,NA,0.588118811881188,NA,23460,0.6
"31","T2-Ft1","Fumana thymifolia","T",2,"T2",0,31,9.55,6.89,9.49,5.18,24.11,NA,317,317,138,194,71,3,0,3,5,0,5,228.8039,0.721465968586387,0.545837723919916,61498,1
"32","T2-Ft2","Fumana thymifolia","T",2,"T2",0,32,5.27,3.74,4.83,2.93,22,NA,131,146,117,128,29,2,0,2,3,0,4,106.26,0.709677419354839,0.606625258799172,16768,1
"33","T2-Ft3","Fumana thymifolia","T",2,"T2",0,33,6.68,3.94,6.5,3.99,19,127,109,127,NA,51,22,3,0,3,3,0,3,123.5,0.589820359281437,0.613846153846154,5559,1
"34","t2-Ft1","Fumana thymifolia","T",2,"T2",1,34,10.56,7.81,9.43,5.38,38,210,201,210,NA,121,30,2,0,2,2,0,6,358.34,0.739583333333333,0.570519618239661,24321,1
"35","t2-Ft2","Fumana thymifolia","T",2,"T2",1,35,10.24,5.68,8.94,6.82,9,125,121,210,40,88,169,3,0,1,2,0,5,80.46,0.5546875,0.762863534675615,10648,0.333333333333333
"36","t2-Ft3","Fumana thymifolia","T",2,"T2",1,36,10.71,5.85,6.35,5.02,20,87,77,130,89,71,93,3,0,3,0,1,3,127,0.546218487394958,0.790551181102362,5467,1
"37","T3-Ho1","Helianthemum oelandicum","T",3,"T3",0,37,6.92,5.01,4.83,2.28,40,60,123,134,88,NA,11,4,0,3,4,0,5,193.2,0.723988439306358,0.472049689440994,NA,0.75
"38","T3-Ho2","Helianthemum oelandicum","T",3,"T3",0,38,6.16,3.03,4.31,2.36,24,130,150,195,22,103,16,4,0,3,3,1,7,103.44,0.491883116883117,0.547563805104408,15450,0.75
"39","T3-Ho3","Helianthemum oelandicum","T",3,"T3",0,39,4.73,1.38,3.2,2.01,23,185,152,327,15,67,18,13,0,8,5,1,7,73.6,0.291754756871036,0.628125,10184,0.615384615384615
"40","t3-Ho1","Helianthemum oelandicum","T",3,"T3",1,40,4.1,1.46,3.96,1.81,27,160,119,225,17,NA,37,26,7,9,2,0,6,106.92,0.35609756097561,0.457070707070707,NA,0.346153846153846
"41","t3-Ho2","Helianthemum oelandicum","T",3,"T3",1,41,4.07,1.61,2.97,1.65,24,68,117,227,17,52,46,6,0,6,6,0,6,71.28,0.395577395577396,0.555555555555555,6084,1
"42","t3-Ho3","Helianthemum oelandicum","T",3,"T3",1,42,5.77,2.43,5.08,2.62,17,156,143,249,37,NA,15,11,0,0,3,1,6,86.36,0.421143847487002,0.515748031496063,NA,0
"43","T3-Fe1","Fumana ericoides","T",3,"T3",0,43,5.31,2.08,2.47,1.21,26,118,116,145,250,232,25,6,0,6,5,1,6,64.22,0.391713747645951,0.489878542510121,26912,1
"44","T3-Fe2","Fumana ericoides","T",3,"T3",0,44,3.04,1.87,1.72,1.64,39,227,191,232,190,225,52,4,0,3,2,1,5,67.08,0.615131578947368,0.953488372093023,42975,0.75
"45","T3-Fe3","Fumana ericoides","T",3,"T3",0,45,4.1,1.74,3.5,2.87,23,NA,213,213,292,260,132,9,0,8,2,1,7,80.5,0.424390243902439,0.82,55380,0.888888888888889
"46","t3-Fe1","Fumana ericoides","T",3,"T3",1,46,4.15,3.3,3.24,NA,27,140,147,180,180,157,43,3,0,2,3,1,4,87.48,0.795180722891566,NA,23079,0.666666666666667
"47","t3-Fe2","Fumana ericoides","T",3,"T3",1,47,4.44,1.91,3.8,NA,13,197,157,257,NA,103,63,3,0,1,3,0,6,49.4,0.43018018018018,NA,16171,0.333333333333333
