"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","mean_vessel_size_µm2_Tige","std_dev_vessel_size_µm2_Tige","mean_vessel_perim_µm_Tige","std_dev_perim_µm_Tige","sum_vessel_area_µm2_Tige","count_vessel_Tige","count_cluster_Tige","vessel_grouping_Tige","dh_Tige","vessel_density_per_mm2_Tige","vessel_area_Tige","Kth_Tige","Ring_Size_Year_2024_Tige","Ring_Size_Year_2023_Tige","Ring_Size_Year_2022_Tige","Ring_Size_Year_2021_Tige","mean_vessel_size_µm2_Racine","std_dev_vessel_size_µm2_Racine","mean_vessel_perim_µm_Racine","std_dev_perim_µm_Racine","sum_vessel_area_µm2_Racine","count_vessel_Racine","count_cluster_Racine","vessel_grouping_Racine","dh_Racine","image_surface_rectified_mm2_Racine","vessel_density_per_mm2_Racine","vessel_area_Racine","Kth_Racine","Ring_Size_Year_2024_Racine","Ring_Size_Year_2023_Racine","Ring_Size_Year_2022_Racine","Ring_Size_Year_2021_Racine"
"1",1,"T1","T",1,"Ho1","Ho",1,0,4.82,1.77,4.45,2.48,25,115,88,263,24,83,11,11,2,5,4,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.650915364783,42.8214255040554,53.8004880583913,17.7630975050073,2498.97105339,23,20,1.15,12.1761991200288,0.0442192202328126,520.135811506983,0.0565132320342378,0.279546120486976,31.436,56.001,49.258,53.898
"2",2,"T1","T",1,"Ho2","Ho",2,0,5.48,3.2,5.18,1.94,15,81,56,233,12,28,47,5,0,5,3,1,7,142.800301621181,55.7616709201151,53.3372012205308,13.1753770106568,37128.078421507,260,86,3.02325581395349,13.9692381468743,1377.76370597999,0.196745072776659,1.28278942808549,155.327,148.827,135.864,66.336,145.37124085707,91.4067167043337,52.8210218227619,23.6366917991179,58003.125101971,399,242,1.64876033057851,14.7839064811273,0.389685061224695,1023.90376152997,0.148846160331833,1.19592986732663,145.97,81.77,144.662,262.992
"3",3,"T1","T",1,"Ho3","Ho",3,0,4.24,1.51,3.77,1.91,25,117,126,161,13,39,130,9,1,7,1,0,6,120.953813141926,41.2602700254631,44.5999960770514,8.53255568408333,21166.917299837,175,108,1.62037037037037,12.7541574329562,787.515462224942,0.0952529980643329,0.50951377567153,115.242,69.629,84.772,173.738,163.381834883311,94.5295425997918,63.6077154778667,22.1553823376179,36760.912848745,225,93,2.41935483870968,15.4983788945409,0.210107418764939,1070.88079670201,0.174962469506476,1.51069215516144,112.419,47.851,105.907,168.807
"4",4,"t1","T",1,"Ho1","Ho",1,1,5.09,1.92,NA,NA,NA,91,100,143,19,NA,NA,13,3,2,NA,0,NA,127.67118627451,45.681375884808,NA,NA,39067.383,306,205,1.49268292682927,13.1383506128203,1065.02337342377,0.135972797495093,0.775911655172075,185.77,255.952,209.325,374.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"t1","T",1,"Ho2","Ho",2,1,5.16,4.38,3.71,NA,32,112,91,253,24,71,NA,9,1,5,NA,NA,NA,146.338340625,56.7473376135971,NA,NA,46828.269,320,119,2.6890756302521,14.1351229577908,932.689237853764,0.136488195386316,0.910384961803931,164.122,177.316,177.767,162.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"t1","T",1,"Ho3","Ho",3,1,3.19,2,NA,NA,NA,104,115,104,118,128,72,3,0,3,NA,0,NA,103.055163461877,36.3989509885871,47.2437251870233,10.5713745621864,31019.604202025,301,230,1.30869565217391,11.7954321987796,706.999986629718,0.0728599991896705,0.334629779283317,159.134,181.064,373.281,162.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"T1","T",1,"Fe1","Fe",1,0,5.4,4.59,4.49,2.36,16,165,196,NA,NA,130,36,5,0,5,7,0,6,226.979325474705,156.549330633665,72.0390699962708,29.497564340199,84663.288402065,373,279,1.33691756272401,18.7328385151665,401.446381151389,0.0911200288080036,1.20873654200095,347.226,320.382,118.584,174.431,236.760605368101,151.989669768187,70.0378974902785,27.3816110737248,37408.17564816,158,123,1.28455284552846,18.9180295311298,0.439371516473847,359.604558046959,0.0851401928563266,1.12620780070438,276.58,256.922,86.733,140.899
"8",8,"T1","T",1,"Fe2","Fe",2,0,5.76,4.33,2.84,2.08,51,65,62,145,80,90,27,2,1,1,4,1,6,140.2444855106,72.0960544145212,51.7017752388538,16.3110969470041,18231.783116378,130,79,1.64556962025316,14.1639172244229,764.641283755059,0.107236723440393,0.752455826572276,117.859,134.277,86.834,60.911,181.47452768584,95.795788912437,59.49766088248,17.0181512672121,13610.589576438,75,42,1.78571428571429,16.1523237477837,0.0851290219138188,881.015643242407,0.159881897741252,1.46626818000407,57.048,191.017,43.024,52.855
"9",9,"T1","T",1,"Fe3","Fe",3,0,3.26,2.86,2.93,1.2,22,155,156,168,185,182,55,7,0,3,3,1,8,162.451122100811,90.5527386950436,68.6036526297673,19.5055250461513,25829.728414029,159,128,1.2421875,15.3826523292486,529.293253627112,0.0859842829721137,0.724621145734687,176.05,122.087,176.31,119.448,182.171098007366,98.4974287763251,56.6756115175,14.9174573201647,33883.82422937,186,142,1.30985915492958,16.2333074619777,0.328348696985648,566.470955138677,0.103194635886894,0.961823649736895,204.253,180.308,163.309,106.935
"10",10,"t1","T",1,"Fe1","Fe",1,1,5.11,4.59,3.97,1.88,24,177,167,177,75,131,26,3,0,1,2,0,NA,216.240816168946,113.379602534108,59.9464247776081,19.4021500423794,32003.640793004,148,104,1.42307692307692,17.6252662863184,618.254897432348,0.133691943621219,1.45881446455293,112.014,105.709,94.197,110.069,271.555534297055,188.09535950066,66.2357755467165,27.0268107009675,34487.552855726,127,75,1.69333333333333,20.4953752564282,0.207239091740141,612.818744444443,0.166414321574861,2.6439015850188,146.132,74.859,103.517,92.8
"11",11,"t1","T",1,"Fe2","Fe",2,1,7.61,5.43,7.02,4.8,22,245,275,260,145,145,43,2,0,1,5,0,NA,189.201158903773,100.454515985625,59.5805857064067,20.1139969474116,28380.173835566,150,102,1.47058823529412,16.5090087183357,713.920531134671,0.135074591855877,1.29665251359274,96.336,135.947,108.17,107.671,238.526676199042,141.446589640042,66.174385497241,24.6270309169614,86108.130107854,361,256,1.41015625,18.7871694718573,0.621812557561452,580.560806645214,0.138479239540517,1.76840963524563,284.825,106.935,128.745,176.92
"12",12,"t1","T",1,"Fe3","Fe",3,1,4.12,2.18,3.35,1.4,27,279,350,315,257,227,35,6,0,6,2,0,6,159.247003809207,81.9617233129117,51.0848421196568,16.0999871643239,53825.487287512,338,233,1.45064377682403,15.0986225288331,714.810935136075,0.113831499710477,0.908301948113984,214.558,120.356,159.299,108.844,215.725116678274,118.110686160381,59.8179398607338,18.8492889417521,56735.705686386,263,202,1.3019801980198,17.6919679931449,0.42151511292514,623.939668912199,0.134599457876288,1.49464111650523,189.476,172.799,108.969,147.567
"13",13,"T1","T",1,"Ft1","Ft",1,0,8.24,3.87,8.33,3.54,27,187,177,187,124,NA,53,3,0,3,3,1,4,222.593039510364,164.689805329473,84.8466671334091,40.3050978332296,9794.093738456,44,29,1.51724137931034,18.7385304159225,598.468429806235,0.133214906841565,1.80415191913804,66.466,107.275,166.405,87.937,405.530285974663,243.605376216823,89.709678557163,35.4730488279944,37308.786309669,92,53,1.73584905660377,24.5248248038774,0.146397209995059,628.427276743218,0.254846293251956,5.55863847048281,76.459,49.158,116.377,53.501
"14",14,"T1","T",1,"Ft2","Ft",2,0,12.53,4.09,11.26,2.37,17,177,135,177,104,110,15,5,0,4,4,0,7,148.040145878188,81.1406266642597,49.3696415827321,16.3122998711932,16580.496338357,112,82,1.36585365853659,14.6534842324756,604.280416584186,0.0894577610224547,0.681227030981568,29.29,39.552,187.253,420.074,218.001106307597,101.63519641193,60.7534008921009,17.4155765951084,49704.252238132,228,140,1.62857142857143,17.4966021423533,0.31316540118256,728.049775419115,0.158715656488364,1.66826748397788,51.625,241.797,146.506,183.33
"15",15,"T1","T",1,"Ft1","Ft",1,0,8.24,4.47,6.64,3.68,32,66,146,66,203,180,32,2,0,2,1,0,6,128.470471309546,58.6402053010458,46.6913941626011,14.1373714804937,23510.096249647,183,127,1.44094488188976,13.406091000464,861.392266509435,0.110663470460866,0.680298271742251,42.913,187.46,229.738,132.495,210.337878306878,108.976288013997,NA,NA,39753.859,189,118,1.60169491525424,17.3623571651656,0.230164817099989,821.150697058508,0.172719095389501,1.82451465772526,28.277,247.528,217.227,83.858
"16",16,"t1","T",1,"Ft1","Ft",1,1,13.39,3.18,10.72,7.87,15.57,135,153,205,27,NA,24,8,0,5,2,1,8,144.708798195107,73.219053659718,50.2462585958316,15.4067302309241,56725.848892482,392,277,1.41516245487365,14.3679366519105,704.457186398596,0.101941152823647,0.734043790220182,580.924,848.096,259.858,313.5,210.799542613468,134.214726252286,61.1679851909167,25.4894690381955,32884.728647701,156,108,1.44444444444444,17.829423387469,0.214904391796102,725.904197193003,0.153020272749482,1.79356965241229,156.207,194.866,112.517,195.888
"17",17,"t1","T",1,"Ft2","Ft",2,1,7.57,6.61,5.37,3.46,33,203,208,203,116,198,66,2,0,2,3,0,6,139.070849673203,55.6704975251197,NA,NA,21277.84,153,84,1.82142857142857,13.8074113318931,691.625008974708,0.0961848776533491,0.614623961869044,97.366,286.161,101.256,360.201,133.4525264974,81.9690634540286,46.3433461999455,18.9850775713914,14679.777914714,110,69,1.59420289855072,14.1124402770837,0.129569472409713,848.965407933188,0.11329657859758,0.823357052743001,45.03,164.365,50.412,91.747
"18",18,"t1","T",1,"Ft3","Ft",3,1,8.62,6.13,6.75,4.44,18.6,125,162,175,61,128,29,5,0,3,3,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.117494623656,68.4517516175704,NA,NA,15262.927,93,85,1.09411764705882,15.0408733761977,0.116560183032843,797.871087537633,0.130944603919328,0.998423271907538,79.787,102.585,121.565,148.794
"19",19,"T1","T",1,"Ho3","Ho",3,0,6.39,2.85,5.23,3.38,21,95,156,178,18,44,8,5,0,5,2,0,6,165.353746286739,79.4179583895908,53.2986075685749,13.9090697596503,108141.350071527,654,363,1.80165289256198,15.281543242102,989.474096004335,0.163613248628001,1.31935915465841,248.162,454.406,271.626,56.537,150.647777777778,67.6925470033549,NA,NA,123380.53,819,319,2.56739811912226,14.5004697792399,0.866014006157155,945.712187305406,0.142469439434921,1.02229685077618,179.438,234.512,410.665,600.765
"20",19,"T1","T",1,"Ho3","Ho",3,0,6.39,2.85,5.23,3.38,21,95,156,178,18,44,8,5,0,5,2,0,6,165.353746286739,79.4179583895908,53.2986075685749,13.9090697596503,108141.350071527,654,363,1.80165289256198,15.281543242102,989.474096004335,0.163613248628001,1.31935915465841,248.162,454.406,271.626,56.537,150.647777777778,67.6925470033549,NA,NA,123380.53,819,319,2.56739811912226,14.5004697792399,0.866014006157155,945.712187305406,0.142469439434921,1.02229685077618,179.438,234.512,410.665,600.765
