"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","aire_conic","tig_ratio","rac_ratio","surface","inflo","ring_length_µm_R_2021","ring_length_µm_R_2022","ring_length_µm_R_2023","ring_length_µm_R_2024","ring_length_µm_T_2021","ring_length_µm_T_2022","ring_length_µm_T_2023","ring_length_µm_T_2024","mean_vessel_size_µm2_R_2021","mean_vessel_size_µm2_R_2022","mean_vessel_size_µm2_R_2023","mean_vessel_size_µm2_R_2024","mean_vessel_size_µm2_T_2021","mean_vessel_size_µm2_T_2022","mean_vessel_size_µm2_T_2023","mean_vessel_size_µm2_T_2024","sum_vessel_area_µm2_R_2021","sum_vessel_area_µm2_R_2022","sum_vessel_area_µm2_R_2023","sum_vessel_area_µm2_R_2024","sum_vessel_area_µm2_T_2021","sum_vessel_area_µm2_T_2022","sum_vessel_area_µm2_T_2023","sum_vessel_area_µm2_T_2024","vessel_density_per_mm2_R_2021","vessel_density_per_mm2_R_2022","vessel_density_per_mm2_R_2023","vessel_density_per_mm2_R_2024","vessel_density_per_mm2_T_2021","vessel_density_per_mm2_T_2022","vessel_density_per_mm2_T_2023","vessel_density_per_mm2_T_2024","vessel_area_R_2021","vessel_area_R_2022","vessel_area_R_2023","vessel_area_R_2024","vessel_area_T_2021","vessel_area_T_2022","vessel_area_T_2023","vessel_area_T_2024","Kth_R_2021","Kth_R_2022","Kth_R_2023","Kth_R_2024","Kth_T_2021","Kth_T_2022","Kth_T_2023","Kth_T_2024"
"1","1","T1","T",1,"Ho1","Ho",1,0,4.82,1.77,4.45,2.48,25,115,88,263,24,83,11,11,2,5,4,1,8,111.25,0.367219917012448,0.557303370786517,7304,0.454545454545455,53.898,49.258,56.001,31.436,NA,NA,NA,NA,174.638833333333,173.771666666667,133.552090909091,159.716666666667,NA,NA,NA,NA,2095.666,1563.945,2938.146,1916.6,NA,NA,NA,NA,959.197166670959,882.62523032965,1742.77561759076,1448.12957204247,NA,NA,NA,NA,0.167513074124055,0.153375257316434,0.232751327714629,0.23129042814805,NA,NA,NA,NA,1.42966641879754,1.26127853313561,1.47758634922423,1.71974136152379,NA,NA,NA,NA
"2","2","T1","T",1,"Ho2","Ho",2,0,5.48,3.2,5.18,1.94,15,81,56,233,12,28,47,5,0,5,3,1,7,77.7,0.583941605839416,0.374517374517375,1568,1,262.992,144.662,81.77,145.97,66.336,135.864,148.827,155.327,150.2733671875,130.560432692308,135.061589285714,152.610050420168,100.031379310345,134.266253968254,148.903492753623,140.669731707317,19234.991,13578.285,7563.449,18160.596,2900.91,8458.774,10274.341,11534.918,1046.89189748256,1123.02806796649,1033.46005524226,1130.44992995954,1376.59754984145,1235.88772830118,1198.42745059686,1333.91321439452,0.157319970516015,0.146623030479312,0.139580757524321,0.172518020808601,0.137702951665882,0.165938015604334,0.178450033205693,0.187641213989721,1.14517148555245,0.856940959745244,0.890763246070554,1.30362410725774,0.588193295512519,0.974035855460343,1.17305215469515,1.82036637462069
"3","3","T1","T",1,"Ho3","Ho",3,0,4.24,1.51,3.77,1.91,25,117,126,161,13,39,130,9,1,7,1,0,6,94.25,0.356132075471698,0.506631299734748,4914,0.777777777777778,168.807,105.907,47.851,112.419,173.738,84.772,69.629,115.242,162.279038461538,139.800675675676,193.907894736842,181.758648648649,139.837623529412,117.864428571429,137.503970588235,163.570754098361,8438.51,5172.625,3684.25,6725.07,11886.198,4950.306,4675.135,9977.816,673.894943619897,799.243064716765,842.300405638227,683.830772671885,1054.75767409026,1078.73935074838,1193.56312727176,934.214302926794,0.10935902347473,0.111734720476502,0.163328698393297,0.124292157145203,0.147494806544192,0.127144997153471,0.164119669147579,0.15281013801921,0.83785780751664,0.694173385216559,1.37631996145336,1.0091761742248,0.931424360749066,0.651279814094954,1.01618484680142,1.17108359136165
"4","4","t1","T",1,"Ho1","Ho",1,1,5.09,1.92,NA,NA,NA,91,100,143,19,NA,NA,13,3,2,NA,0,NA,NA,0.37721021611002,NA,NA,0.153846153846154,NA,NA,NA,NA,374.85,209.325,255.952,185.77,NA,NA,NA,NA,144.982365384615,145.125047297297,147.938347368421,118.460857142857,NA,NA,NA,NA,7539.083,21478.507,14054.143,9950.712,NA,NA,NA,NA,1310.84921279734,1229.6981413217,1354.9869772933,1534.23584445772,NA,NA,NA,NA,0.19005001953392,0.17846000092071,0.200454534126503,0.181746893193757,NA,NA,NA,NA,1.2364407479299,1.18426947990233,1.39569651245803,1.01098067612512
"5","5","t1","T",1,"Ho2","Ho",2,1,5.16,4.38,3.71,NA,32,112,91,253,24,71,NA,9,1,5,NA,NA,NA,118.72,0.848837209302326,NA,6461,0.555555555555556,NA,NA,NA,NA,162.034,177.767,177.316,164.122,NA,NA,NA,NA,143.250322580645,161.323384615385,178.631533333333,147.726224489796,NA,NA,NA,NA,13322.28,16777.632,10717.892,14477.17,NA,NA,NA,NA,1115.52206454029,1056.86244367898,906.462404960136,1065.14414232239,NA,NA,NA,NA,0.159798895591224,0.170496626487179,0.16192276930705,0.157349722682708,NA,NA,NA,NA,1.01919545327587,1.30562877571474,1.3116765348186,1.04493616226862
"6","6","t1","T",1,"Ho3","Ho",3,1,3.19,2,NA,NA,NA,104,115,104,118,128,72,3,0,3,NA,0,NA,NA,0.626959247648903,NA,14720,1,NA,NA,NA,NA,162.75,373.281,181.064,159.134,NA,NA,NA,NA,124.92672972973,122.045956521739,154.08695049505,122.697823529412,NA,NA,NA,NA,9244.578,25263.513,15562.782,10429.315,NA,NA,NA,NA,1013.56608367502,1157.88091455766,1147.33702970474,1038.1135273957,NA,NA,NA,NA,0.12662149619849,0.141314683755455,0.176789664097252,0.127374270387892,NA,NA,NA,NA,0.715109592596822,0.784171015673889,1.25978289262089,0.712371148969207
"7","7","T1","T",1,"Fe1","Fe",1,0,5.4,4.59,4.49,2.36,16,165,196,NA,NA,130,36,5,0,5,7,0,6,71.84,0.85,0.525612472160356,25480,1,140.899,86.733,256.922,276.58,174.431,118.584,320.382,347.226,231.50430952381,171.586105263158,187.6005,299.278444444444,259.951542168675,154.058074074074,179.957939130435,278.250803418803,9723.181,3260.136,8629.623,10774.024,21575.978,4159.568,20695.163,32555.344,535.249906723544,369.792389340461,342.294365985142,217.288343946554,486.148285706596,252.426520407332,402.537881850318,327.231474280529,0.123912660078718,0.063451235842887,0.0642145942059956,0.0650297175722341,0.126374996592087,0.0388883435791735,0.0724398876397136,0.0910524206224766,1.56141234959369,0.5978240672967,0.651755500921178,0.98728326150089,1.79952616709887,0.277659402580788,0.735085845477751,1.35116738487649
"8","8","T1","T",1,"Fe2","Fe",2,0,5.76,4.33,2.84,2.08,51,65,62,145,80,90,27,2,1,1,4,1,6,144.84,0.751736111111111,0.732394366197183,5580,0.5,52.855,43.024,191.017,57.048,60.911,86.834,134.277,117.859,229.6359,190.2635,165.122346153846,166.575615384615,137.85830952381,131.102333333333,109.12022,159.039511627907,2296.359,1902.635,4293.181,2165.483,5790.049,8259.447,10912.022,6838.699,816.503819756372,801.488580217768,657.029972140088,709.18510953851,1548.53912601148,1765.60263151151,1876.23776653914,876.037746039579,0.187498589503192,0.152494022482263,0.108490330493167,0.118132946042983,0.21347898614342,0.231474624730632,0.20473547785706,0.139324615297747,1.96292094853068,1.49443191191301,0.91665016379509,0.874431692027724,1.65131808974357,1.5905208777095,1.17155725326968,1.24514447546737
"9","9","T1","T",1,"Fe3","Fe",3,0,3.26,2.86,2.93,1.2,22,155,156,168,185,182,55,7,0,3,3,1,8,64.46,0.877300613496933,0.409556313993174,28392,0.428571428571429,106.935,163.309,180.308,204.253,119.448,176.31,122.087,176.05,166.620451612903,192.107909090909,190.335860759494,189.566341463415,142.321266666667,178.006433333333,178.476132075472,183.179315789474,5165.234,10565.935,15036.533,15544.44,6404.457,10680.386,9459.235,13921.628,667.44126661931,684.257105806881,821.137037270732,785.571350790914,735.906342795162,725.114140094946,937.503974401963,804.54669093802,0.111209365269198,0.131451201877157,0.156291824790425,0.148917886927906,0.104735122854642,0.129074981837868,0.167322083156644,0.147376312366712,0.864739951081067,1.3526350440627,1.61825501837924,1.70765737982575,0.706451822065833,1.19203199174955,1.60672828313736,1.55799096646887
"10","10","t1","T",1,"Fe1","Fe",1,1,5.11,4.59,3.97,1.88,24,177,167,177,75,131,26,3,0,1,2,0,NA,95.28,0.898238747553816,0.473551637279597,21877,0.333333333333333,92.8,103.517,74.859,146.132,110.069,94.197,105.709,112.014,245.913727272727,275.305875,264.1986,290.055742857143,212.636027777778,219.596290322581,201.419,224.052487179487,8115.153,6607.341,7925.958,10151.951,7654.897,6807.485,5639.732,8738.047,689.673754831519,554.734590222137,772.385752323071,526.39416489346,634.297595449897,578.853348513213,485.024432111727,543.796288991182,0.169600243652796,0.152721691753872,0.204063234423702,0.152683650533838,0.134874521125462,0.127114047974305,0.0976931360915119,0.12183891106745,2.09549590460024,2.23316198019533,2.89159640025265,2.74333622890887,1.31800852609815,1.43302584859585,0.958792741651686,1.38342818318966
