Label,Length,Year
1826_T1-Ho2-3_Tige_X200_09µm_square.jpg,155.327,2024
1826_T1-Ho2-3_Tige_X200_09µm_square.jpg,148.827,2023
1826_T1-Ho2-3_Tige_X200_09µm_square.jpg,135.864,2022
1826_T1-Ho2-3_Tige_X200_09µm_square.jpg,66.336,2021
1827_T1-Ho2-2_Racine_X200_09µm_square.jpg,145.97,2024
1827_T1-Ho2-2_Racine_X200_09µm_square.jpg,81.77,2023
1827_T1-Ho2-2_Racine_X200_09µm_square.jpg,144.662,2022
1827_T1-Ho2-2_Racine_X200_09µm_square.jpg,262.992,2021
1828_T1-Fe2-8_Tige_X200_09µm_square.jpg,117.859,2024
1828_T1-Fe2-8_Tige_X200_09µm_square.jpg,134.277,2023
1828_T1-Fe2-8_Tige_X200_09µm_square.jpg,86.834,2022
1828_T1-Fe2-8_Tige_X200_09µm_square.jpg,60.911,2021
1829_T1-Fe2-8_Racine_X200_09µm_square.jpg,57.048,2024
1829_T1-Fe2-8_Racine_X200_09µm_square.jpg,191.017,2023
1829_T1-Fe2-8_Racine_X200_09µm_square.jpg,43.024,2022
1829_T1-Fe2-8_Racine_X200_09µm_square.jpg,52.855,2021
1830_t1-Fe2-11_Tige_X200_12µm_square.jpg,96.336,2024
1830_t1-Fe2-11_Tige_X200_12µm_square.jpg,135.947,2023
1830_t1-Fe2-11_Tige_X200_12µm_square.jpg,108.17,2022
1830_t1-Fe2-11_Tige_X200_12µm_square.jpg,107.671,2021
1831_t1-Fe2-11_Racine_X200_11µm_square.jpg,284.825,2024
1831_t1-Fe2-11_Racine_X200_11µm_square.jpg,106.935,2023
1831_t1-Fe2-11_Racine_X200_11µm_square.jpg,128.745,2022
1831_t1-Fe2-11_Racine_X200_11µm_square.jpg,176.92,2021
1832_t1-Fe3-12_Tige_X200_09µm_square.jpg,214.558,2024
1832_t1-Fe3-12_Tige_X200_09µm_square.jpg,120.356,2023
1832_t1-Fe3-12_Tige_X200_09µm_square.jpg,159.299,2022
1832_t1-Fe3-12_Tige_X200_09µm_square.jpg,108.844,2021
1833_t1-Fe3-12_Racine_X200_09µm_square.jpg,189.476,2024
1833_t1-Fe3-12_Racine_X200_09µm_square.jpg,172.799,2023
1833_t1-Fe3-12_Racine_X200_09µm_square.jpg,108.969,2022
1833_t1-Fe3-12_Racine_X200_09µm_square.jpg,147.567,2021
1834_T1-Ft1-13_Tige_X200_11µm_square.jpg,66.466,2024
1834_T1-Ft1-13_Tige_X200_11µm_square.jpg,107.275,2023
1834_T1-Ft1-13_Tige_X200_11µm_square.jpg,166.405,2022
1834_T1-Ft1-13_Tige_X200_11µm_square.jpg,87.937,2021
1835_T1-Ft1-13_Racine_X200_09µm_square.jpg,76.459,2024
1835_T1-Ft1-13_Racine_X200_09µm_square.jpg,49.158,2023
1835_T1-Ft1-13_Racine_X200_09µm_square.jpg,116.377,2022
1835_T1-Ft1-13_Racine_X200_09µm_square.jpg,53.501,2021
1836_T1-Ft1-15_Tige_X200_09µm_square.jpg,42.913,2024
1836_T1-Ft1-15_Tige_X200_09µm_square.jpg,187.46,2023
1836_T1-Ft1-15_Tige_X200_09µm_square.jpg,229.738,2022
1836_T1-Ft1-15_Tige_X200_09µm_square.jpg,132.495,2021
1839_t1-Ft2-17_Racine_X200_09µm_square.jpg,45.03,2024
1839_t1-Ft2-17_Racine_X200_09µm_square.jpg,164.365,2023
1839_t1-Ft2-17_Racine_X200_09µm_square.jpg,50.412,2022
1839_t1-Ft2-17_Racine_X200_09µm_square.jpg,91.747,2021
1840_T2-Fe1-25_Tige_X200_11µm_square.jpg,57.156,2024
1840_T2-Fe1-25_Tige_X200_11µm_square.jpg,78.787,2023
1840_T2-Fe1-25_Tige_X200_11µm_square.jpg,104.815,2022
1840_T2-Fe1-25_Tige_X200_11µm_square.jpg,78.815,2021
1843_T2-Fe2-26_Racine_X200_09µm_square.jpg,85.353,2024
1843_T2-Fe2-26_Racine_X200_09µm_square.jpg,148.1,2023
1843_T2-Fe2-26_Racine_X200_09µm_square.jpg,165.201,2022
1843_T2-Fe2-26_Racine_X200_09µm_square.jpg,113.513,2021
1844_T2-Fe3-27_Tige_X200_09µm_square.jpg,116.964,2024
1844_T2-Fe3-27_Tige_X200_09µm_square.jpg,90.877,2023
1844_T2-Fe3-27_Tige_X200_09µm_square.jpg,155.066,2022
1844_T2-Fe3-27_Tige_X200_09µm_square.jpg,174.781,2021
1845_T2-Fe3-27_Racine_X200_09µm_square.jpg,86.293,2024
1845_T2-Fe3-27_Racine_X200_09µm_square.jpg,114.222,2023
1845_T2-Fe3-27_Racine_X200_09µm_square.jpg,87.489,2022
1845_T2-Fe3-27_Racine_X200_09µm_square.jpg,141.858,2021
1846_T2-Fe1-28_Tige_X200_09µm_square.jpg,81.116,2024
1846_T2-Fe1-28_Tige_X200_09µm_square.jpg,68.552,2023
1846_T2-Fe1-28_Tige_X200_09µm_square.jpg,63.843,2022
1846_T2-Fe1-28_Tige_X200_09µm_square.jpg,72.744,2021
1848_T3-Ho1-37_Tige_X200_09µm_square.jpg,216.646,2024
1848_T3-Ho1-37_Tige_X200_09µm_square.jpg,386.185,2023
1848_T3-Ho1-37_Tige_X200_09µm_square.jpg,268.45,2022
1848_T3-Ho1-37_Tige_X200_09µm_square.jpg,178.971,2021
1849_T3-Ho1-37_Racine_X200_09µm_square.jpg,65.48,2024
1849_T3-Ho1-37_Racine_X200_09µm_square.jpg,136.296,2023
