 ,Label,Area,X,Y,Perim.,Angle,Length,Length_real
1,1874_F1-Ft3-60_Tige_X200_09µm_square.jpg,183,103,927,182.275,-3.145,182.275,95.3770080058605
2,1874_F1-Ft3-60_Tige_X200_09µm_square.jpg,203,303,918,202.356,-3.4,202.356,105.884569096332
3,1874_F1-Ft3-60_Tige_X200_09µm_square.jpg,465,644,911,464.211,-1.728,464.211,242.902516875098
4,1874_F1-Ft3-60_Tige_X200_09µm_square.jpg,201,988,891,200.489,-4.004,200.489,104.907644811888
5,1883_F2-Ft3-66_Racine_X200_09µm_square.jpg,176,113,381,174.562,-4.6,174.562,91.3411124483282
6,1883_F2-Ft3-66_Racine_X200_09µm_square.jpg,147,278,394.5,146.455,-17.074,146.455,76.6338757783476
7,1883_F2-Ft3-66_Racine_X200_09µm_square.jpg,188,434,424,187.275,-19.983,187.275,97.9933022866412
8,1883_F2-Ft3-66_Racine_X200_09µm_square.jpg,191,606.5,465,189.771,-24.269,189.771,99.2993563916069
9,1886_F3-Ft1-70_Tige_X200_09µm_square.jpg,118,1264,668,116.619,174.094,116.619,61.0219245460729
10,1886_F3-Ft1-70_Tige_X200_09µm_square.jpg,364,1027,623,363.241,175.263,363.241,190.069070169013
11,1886_F3-Ft1-70_Tige_X200_09µm_square.jpg,200,753,571,198.816,174.806,198.816,104.032232745539
12,1886_F3-Ft1-70_Tige_X200_09µm_square.jpg,564,381,525,562.601,177.351,562.601,294.385955732301
13,1895_P1-Fe3-75_Racine_X200_09µm_square.jpg,411,1401,538,410.078,-178.882,410.078,214.576945214798
14,1895_P1-Fe3-75_Racine_X200_09µm_square.jpg,355,1015,508,354.361,-177.412,354.361,185.422531526346
15,1895_P1-Fe3-75_Racine_X200_09µm_square.jpg,376,650,505,374.833,-172.951,374.833,196.134686829575
16,1895_P1-Fe3-75_Racine_X200_09µm_square.jpg,248,334,514,246.641,-171.607,246.641,129.057087541207
17,1923_T3-Ft1-49_Racine_X200_09µm_square.jpg,599,2248,448,598.264,-175.014,598.264,313.046936319397
18,1923_T3-Ft1-49_Racine_X200_09µm_square.jpg,737,1574,433,736.22,178.599,736.22,385.233635079274
