Slice,Count,Total Area,Average Size,%Area,Perim.
1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,32,9686.490,302.703,34.778,74.132
1826_2022_T1-Ho2-2_Tige_X200_09µm_square.jpg,65,16408.276,252.435,27.846,65.755
1826_2023_T1-Ho2-2_Tige_X200_09µm_square.jpg,70,16360.635,233.723,25.699,63.310
1826_2024_T1-Ho2-2_Tige_X200_09µm_square.jpg,83,14670.742,176.756,22.707,58.539
1827_2021_T1-Ho2-2_Racine_X200_09µm_square.jpg,129,286653.361,2222.119,73.560,72.729
1827_2022_T1-Ho2-2_Racine_X200_09µm_square.jpg,106,310656.570,2930.722,79.720,87.756
1827_2023_T1-Ho2-2_Racine_X200_09µm_square.jpg,58,343061.611,5914.855,88.036,117.057
1827_2024_T1-Ho2-2_Racine_X200_09µm_square.jpg,121,302577.842,2500.643,77.647,84.963
1828_2021_T1-Fe2-8_Tige_X200_09µm_square.jpg,43,148682.076,3457.723,87.453,100.002
1828_2022_T1-Fe2-8_Tige_X200_09µm_square.jpg,65,142591.944,2193.722,83.871,90.424
1828_2023_T1-Fe2-8_Tige_X200_09µm_square.jpg,102,127628.233,1251.257,75.069,84.880
1828_2024_T1-Fe2-8_Tige_X200_09µm_square.jpg,44,127768.417,2903.828,75.152,94.505
1829_2021_T1-Fe2-8_Racine_X200_09µm_square.jpg,11,81287.883,7389.808,89.093,172.594
1829_2022_T1-Fe2-8_Racine_X200_09µm_square.jpg,12,80664.720,6722.060,88.410,206.940
1829_2023_T1-Fe2-8_Racine_X200_09µm_square.jpg,28,55960.031,1998.573,61.334,123.496
1829_2024_T1-Fe2-8_Racine_X200_09µm_square.jpg,15,75073.451,5004.897,82.282,165.011
1830_2021_t1-Fe2-11_Tige_X200_12µm_square.jpg,36,175079.931,4863.331,83.329,104.438
1830_2022_t1-Fe2-11_Tige_X200_12µm_square.jpg,29,169518.783,5845.475,80.682,154.907
1830_2023_t1-Fe2-11_Tige_X200_12µm_square.jpg,45,157852.175,3507.826,75.129,110.912
1830_2024_t1-Fe2-11_Tige_X200_12µm_square.jpg,36,171884.149,4774.560,81.808,167.776
1831_2021_t1-Fe2-11_Racine_X200_11µm_square.jpg,49,528297.884,10781.589,84.961,118.607
1831_2022_t1-Fe2-11_Racine_X200_11µm_square.jpg,63,534133.085,8478.303,85.899,144.318
1831_2023_t1-Fe2-11_Racine_X200_11µm_square.jpg,53,524275.478,9891.990,84.314,158.132
1831_2024_t1-Fe2-11_Racine_X200_11µm_square.jpg,181,365180.538,2017.572,58.728,76.796
1832_2021_t1-Fe3-12_Tige_X200_09µm_square.jpg,56,424316.370,7577.078,85.412,122.644
1832_2022_t1-Fe3-12_Tige_X200_09µm_square.jpg,84,404862.596,4819.793,81.497,96.597
1832_2023_t1-Fe3-12_Tige_X200_09µm_square.jpg,67,413681.435,6174.350,83.272,109.665
1832_2024_t1-Fe3-12_Tige_X200_09µm_square.jpg,101,353755.419,3502.529,71.209,94.245
1833_2021_t1-Fe3-12_Racine_X200_09µm_square.jpg,61,362434.026,5941.541,81.517,116.670
1833_2022_t1-Fe3-12_Racine_X200_09µm_square.jpg,43,386040.236,8977.680,86.826,154.099
1833_2023_t1-Fe3-12_Racine_X200_09µm_square.jpg,60,353179.060,5886.318,79.435,122.574
1833_2024_t1-Fe3-12_Racine_X200_09µm_square.jpg,73,330399.460,4526.020,74.312,109.959
1834_2021_T1-Ft1-13_Tige_X200_11µm_square.jpg,12,58923.368,4910.281,80.145,150.334
1834_2022_T1-Ft1-13_Tige_X200_11µm_square.jpg,16,51008.087,3188.005,69.379,167.490
1834_2023_T1-Ft1-13_Tige_X200_11µm_square.jpg,17,60537.964,3561.057,82.341,195.749
1834_2024_T1-Ft1-13_Tige_X200_11µm_square.jpg,8,62119.431,7764.929,84.492,247.304
1835_2021_T1-Ft1-13_Racine_X200_09µm_square.jpg,19,162227.497,8538.289,89.863,220.769
1835_2022_T1-Ft1-13_Racine_X200_09µm_square.jpg,18,157230.652,8735.036,87.095,276.425
1835_2023_T1-Ft1-13_Racine_X200_09µm_square.jpg,16,163281.353,10205.085,90.446,285.557
1835_2024_T1-Ft1-13_Racine_X200_09µm_square.jpg,32,145464.372,4545.762,80.577,191.745
1836_2021_T1-Ft1-15_Tige_X200_09µm_square.jpg,37,176177.877,4761.564,82.928,113.712
1836_2022_T1-Ft1-15_Tige_X200_09µm_square.jpg,74,144754.133,1956.137,68.137,79.368
1836_2023_T1-Ft1-15_Tige_X200_09µm_square.jpg,59,159862.684,2709.537,75.248,92.817
1836_2024_T1-Ft1-15_Tige_X200_09µm_square.jpg,20,197489.079,9874.454,92.959,164.262
1837_2021_T1-Ft1-15_Racine_X200_09µm_square.jpg,36,252839.640,7023.323,90.087,156.026
1837_2022_T1-Ft1-15_Racine_X200_09µm_square.jpg,99,227362.825,2296.594,81.010,115.452
1837_2023_T1-Ft1-15_Racine_X200_09µm_square.jpg,78,195872.569,2511.187,69.790,98.919
1837_2024_T1-Ft1-15_Racine_X200_09µm_square.jpg,16,267895.349,16743.459,95.452,315.336
1838_2021_t1-Ft2-17_Tige_X200_09µm_square.jpg,64,146577.369,2290.271,63.795,83.526
1838_2022_t1-Ft2-17_Tige_X200_09µm_square.jpg,19,205672.139,10824.849,89.515,185.242
1838_2023_t1-Ft2-17_Tige_X200_09µm_square.jpg,56,161499.187,2883.914,70.290,89.472
1838_2024_t1-Ft2-17_Tige_X200_09µm_square.jpg,15,203796.329,13586.422,88.699,218.968
1839_2021_t1-Ft2-17_Racine_X200_09µm_square.jpg,38,115843.065,3048.502,79.997,102.308
1839_2022_t1-Ft2-17_Racine_X200_09µm_square.jpg,12,133559.831,11129.986,92.232,236.526
1839_2023_t1-Ft2-17_Racine_X200_09µm_square.jpg,57,104657.794,1836.102,72.273,87.979
1839_2024_t1-Ft2-17_Racine_X200_09µm_square.jpg,24,124565.229,5190.218,86.021,157.506
1840_2021_T2-Fe1-25_Tige_X200_11µm_square.jpg,36,111250.070,3090.280,81.983,121.021
1840_2022_T2-Fe1-25_Tige_X200_11µm_square.jpg,54,106969.214,1980.911,78.828,97.607
1840_2023_T2-Fe1-25_Tige_X200_11µm_square.jpg,34,116405.180,3423.682,85.782,135.376
1840_2024_T2-Fe1-25_Tige_X200_11µm_square.jpg,24,115305.047,4804.377,84.971,151.040
1842_2021_T2-Fe2-26_Tige_X200_09µm_square.jpg,55,148551.191,2700.931,78.357,97.633
1842_2022_T2-Fe2-26_Tige_X200_09µm_square.jpg,65,143681.118,2210.479,75.788,85.453
1842_2023_T2-Fe2-26_Tige_X200_09µm_square.jpg,43,149440.224,3475.354,78.826,107.879
1842_2024_T2-Fe2-26_Tige_X200_09µm_square.jpg,37,162961.557,4404.366,85.958,123.468
1843_2021_T2-Fe2-26_Racine_X200_09µm_square.jpg,33,158850.169,4813.641,88.137,126.922
1843_2022_T2-Fe2-26_Racine_X200_09µm_square.jpg,29,142543.478,4915.292,79.089,155.599
1843_2023_T2-Fe2-26_Racine_X200_09µm_square.jpg,45,134231.459,2982.921,74.477,117.858
