 ,Label,Area,X,Y,Perim.
1,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,2576.730,55.849,10.312,333.545
2,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,1469.210,318.280,8.074,248.112
3,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,70.640,217.789,18.091,37.591
4,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,79.128,176.953,23.012,35.498
5,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,121.567,102.083,30.916,45.911
6,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,101.580,348.704,31.464,40.424
7,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,88.985,309.353,34.898,37.464
8,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,66.533,182.084,36.623,31.978
9,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,120.198,171.911,39.655,46.344
10,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,99.663,281.201,38.863,38.638
11,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,70.640,122.690,41.291,46.090
12,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,70.093,70.654,43.079,42.465
13,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,101.854,248.399,44.412,43.564
14,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,61.879,8.555,42.615,33.278
15,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,157.161,109.514,46.334,51.524
16,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,144.840,262.579,47.520,51.323
17,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,79.950,200.026,47.651,40.731
18,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,113.079,146.759,48.192,44.737
19,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,128.138,215.902,50.167,48.744
20,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,93.640,87.433,51.289,42.771
21,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,112.258,292.387,51.972,43.511
22,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,78.854,240.377,51.550,46.344
23,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,112.806,319.693,51.207,43.257
24,1826_2021_T1-Ho2-2_Tige_X200_09µm_square.jpg,79.128,342.531,52.081,37.644
