number,Label,Area,Perim.,%Area
1,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,1169.125276431,261.979513138,100.000000000
2,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,190.838481890,57.115969302,99.856527977
3,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,197.135877993,66.070340278,99.305555556
4,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,130.876319001,48.669453879,100.000000000
5,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,182.076887313,55.075524042,100.000000000
6,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,329.928795808,77.708999002,97.842323651
7,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,65.711959331,38.764722474,100.000000000
8,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,359.225377676,106.494616347,99.542682927
9,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,197.683477654,64.336412959,100.000000000
10,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,103.496335946,41.470793782,100.000000000
11,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,72.830754925,38.637758586,100.000000000
12,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,120.745725271,50.044273092,97.732426304
13,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,121.567124762,44.864274695,99.099099099
14,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,68.449957636,36.544723161,100.000000000
15,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,244.229448847,74.516855700,99.887892377
16,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,379.760364967,131.199343172,99.495313627
17,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,189.743282568,71.429892728,100.000000000
18,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,121.567124762,45.424720413,100.000000000
19,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,406.592748361,88.322923572,99.865319865
20,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,155.244503919,54.843379824,100.000000000
21,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,377.022366662,80.721588250,100.000000000
22,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,69.818956789,35.804723390,98.431372549
23,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,398.378753444,111.981132685,99.656357388
24,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,107.329533574,56.270789202,99.234693878
25,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,130.602519170,52.316862570,100.000000000
26,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,367.713172423,79.802034426,99.776619509
27,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,187.279084093,58.902486785,100.000000000
