 ,Label,Area,X,Y,Perim.
1,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,1169.125276431,5.981939359,43.805711903,261.979513138
2,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,190.838481890,69.133605703,5.985946183,57.115969302
3,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,197.135877993,244.300112210,8.873598102,66.070340278
4,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,130.876319001,282.616705882,3.897074326,48.669453879
5,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,182.076887313,505.175738257,5.337633761,55.075524042
6,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,329.928795808,343.023537312,11.498884764,77.708999002
7,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,65.711959331,629.005110495,11.496433119,38.764722474
8,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,359.225377676,481.783014124,21.674163520,106.494616347
9,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,197.683477654,42.996368642,17.982855953,64.336412959
10,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,103.496335946,189.151155087,15.898486674,41.470793782
11,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,72.830754925,219.756916754,18.257012947,38.637758586
12,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,120.745725271,431.667792088,20.471761167,50.044273092
13,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,121.567124762,634.130808114,20.239746837,44.864274695
14,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,68.449957636,149.771335880,20.947098530,36.544723161
15,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,244.229448847,527.871981318,26.994173524,74.516855700
16,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,379.760364967,251.585461130,31.792596940,131.199343172
17,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,189.743282568,188.015665751,32.657619649,71.429892728
18,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,121.567124762,596.449099406,31.600592272,45.424720413
19,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,406.592748361,544.600241686,39.787933933,88.322923572
20,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,155.244503919,447.671945675,41.025063176,54.843379824
21,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,377.022366662,300.072234042,43.868054104,80.721588250
22,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,69.818956789,153.718061972,40.669525096,35.804723390
23,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,398.378753444,366.585264851,48.682673353,111.981132685
24,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,107.329533574,579.505178661,44.922840676,56.270789202
25,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,130.602519170,337.452049688,50.389169661,52.316862570
26,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,367.713172423,78.863447478,54.469766372,79.802034426
27,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,187.279084093,250.774101808,52.326650614,58.902486785
28,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,213.837667656,527.283795437,63.532401950,60.150342110
29,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,91.449143402,491.167735170,61.446882803,37.718204762
30,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,165.648897480,424.135898541,66.517444196,59.410342339
31,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,330.202595638,360.669399935,71.105498444,75.182481747
32,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,299.537014617,567.865477897,71.782123048,68.955965638
33,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,232.729855964,464.277117890,73.339961279,86.895514195
34,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,203.433274096,247.086986961,68.860654195,68.702037861
35,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,414.532943446,305.235139189,73.533421898,78.068107107
36,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,201.242875451,190.176829457,71.617763321,54.230343942
37,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,90.627743911,511.490274420,70.258172126,42.031239500
38,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,106.781933913,619.407000130,72.126537408,40.117758128
39,1971_t1-Ft1-16_Racine_X200_09µm_square.jpg,155.244503919,37.152763070,74.801560770,48.870791492
